"region";"subregion";"key";"value"
"AMP";"Arouca";"Alvarenga";1057
"AMP";"Arouca";"Chave";1270
"AMP";"Arouca";"Escariz";2114
"AMP";"Arouca";"Fermedo";1261
"AMP";"Arouca";"Mansores";1100
"AMP";"Arouca";"Moldes";1126
"AMP";"Arouca";"Rossas";1491
"AMP";"Arouca";"Santa Eulalia";2120
"AMP";"Arouca";"Sao Miguel do Mato";550
"AMP";"Arouca";"Tropeco";1086
"AMP";"Arouca";"Uniao das Freguesias de Arouca e Burgo";5124
"AMP";"Arouca";"Uniao das Freguesias de Cabreiros e Albergaria da Serra";185
"AMP";"Arouca";"Uniao das Freguesias de Canelas e Espiunca";1065
"AMP";"Arouca";"Uniao das Freguesias de Covelo de Paivo e Janarde";171
"AMP";"Arouca";"Urro";900
